Cluster University of Srinagar,,1st Semester,Physics,Major,Books,Book Number 1,https://drive.google.com/file/d/1d_8QcSbCWoTch022CJPnVZUJU4sd2YCr/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Major,Books,Book Number 2,https://drive.google.com/file/d/1fEJF9sZtVFaBohak9IANg1941CgqEp2L/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Major,Books,Book Number 3,https://drive.google.com/file/d/1DZEBmor7bpYjyNpV3p4qWdD9vd3I1YUv/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Major,Books,Book Number 4,https://drive.google.com/file/d/1Bjy0OgmUAy06Dn-YysYLrsLY6Ei-mhar/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Major,Books,Book Number 5,https://drive.google.com/file/d/1zLgApUeZCy0SQlYar2xE73TShZfqaHpQ/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Minor,Books,Book Number 1,https://drive.google.com/file/d/1d_8QcSbCWoTch022CJPnVZUJU4sd2YCr/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Minor,Books,Book Number 2,https://drive.google.com/file/d/1fEJF9sZtVFaBohak9IANg1941CgqEp2L/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Minor,Books,Book Number 3,https://drive.google.com/file/d/1DZEBmor7bpYjyNpV3p4qWdD9vd3I1YUv/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Minor,Books,Book Number 4,https://drive.google.com/file/d/1Bjy0OgmUAy06Dn-YysYLrsLY6Ei-mhar/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Physics,Minor,Books,Book Number 5,https://drive.google.com/file/d/1zLgApUeZCy0SQlYar2xE73TShZfqaHpQ/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Major,Books,Book Number 1,https://drive.google.com/file/d/10gEmFj9KreYFP4Q-NWxfRirCZDWYxNss/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Major,Books,Book Number 2,https://drive.google.com/file/d/18nSMt8wrShreHRJ2--SP28p9TqOz7SFk/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Major,Books,Book Number 3,https://drive.google.com/file/d/1awQkYzo4hHqW2mJ4llKjuZednNeeZ626/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Major,Books,Book Number 4,https://drive.google.com/file/d/15qz5ZbJLYY4SamA_3NYIbA_fDooFDrY2/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Minor,Books,Book Number 1,https://drive.google.com/file/d/10gEmFj9KreYFP4Q-NWxfRirCZDWYxNss/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Minor,Books,Book Number 2,https://drive.google.com/file/d/18nSMt8wrShreHRJ2--SP28p9TqOz7SFk/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Minor,Books,Book Number 3,https://drive.google.com/file/d/1awQkYzo4hHqW2mJ4llKjuZednNeeZ626/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Chemistry,Minor,Books,Book Number 4,https://drive.google.com/file/d/15qz5ZbJLYY4SamA_3NYIbA_fDooFDrY2/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Mathematics,Major,Books,Book Number 1,https://drive.google.com/file/d/1T6sMDBWRc5LuB8SHeSNTnjDXUR8owwG0/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Mathematics,Major,Books,Book Number 2,https://drive.google.com/file/d/14zbJaNZe_ORActAhV--ki7NtlxH4JUeI/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Mathematics,Minor,Books,Book Number 1,https://drive.google.com/file/d/1T6sMDBWRc5LuB8SHeSNTnjDXUR8owwG0/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Mathematics,Minor,Books,Book Number 2,https://drive.google.com/file/d/14zbJaNZe_ORActAhV--ki7NtlxH4JUeI/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Computer Science,Major,Books,Book Number 1,https://drive.google.com/file/d/1BvMCQBYw0zgPy1547J3tA3mF-wBvuFJ5/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Computer Science,Major,Books,Book Number 2,https://drive.google.com/file/d/1EUuZ0oxgoBYtO3BhQUAcDSI9Bs3UnzXn/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Computer Science,Major,Books,Book Number 3,https://drive.google.com/file/d/1wsF2iUN-BsnFFQbbMngVD42A4htRZ6Hz/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Computer Science,Minor,Books,Book Number 1,https://drive.google.com/file/d/1BvMCQBYw0zgPy1547J3tA3mF-wBvuFJ5/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Computer Science,Minor,Books,Book Number 2,https://drive.google.com/file/d/1EUuZ0oxgoBYtO3BhQUAcDSI9Bs3UnzXn/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Computer Science,Minor,Books,Book Number 3,https://drive.google.com/file/d/1wsF2iUN-BsnFFQbbMngVD42A4htRZ6Hz/view?usp=drivesdk
Cluster University of Srinagar,,1st Semester,Zoology,Major,Books,Book Number 1,https://online.fliphtml5.com/zrrga/rxxh/#p=14
